"Hotel Name",Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax
JW Marriott Mumbai Sahar,4.5,Excellent,2139,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.2 km ,"9,500",
Radisson Mumbai Andheri MIDC,4.3,Excellent,3609,5,Andheri East ,T2 - Chhatrapati Shivaji International Airport,4.1 km ,"7,000",
Sofitel Mumbai BKC- Luxury Brand by Accor,4.3,Excellent,2276,5,Bandra Kurla Complex ,T1 - Chhatrapati Shivaji International Airport,7.6 km ,"8,550","1,539"
The Leela Mumbai,4.5,Excellent,2861,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.7 km ,"10,500",
Novotel Mumbai International Airport,4.4,Excellent,102,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.8 km ,"8,299",
Radisson Blu Mumbai International Airport,4.4,Excellent,2166,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.1 km ,"7,499",
Sun-N-Sand,4.2,Very Good,2353,5,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.8 km ,"8,835","2,660"
The St. Regis Mumbai,4.5,Excellent,1328,5,South Mumbai ,Tata memorial cancer hospital,640 m ,"12,500",
Niranta Airport Transit Hotel & Lounge Terminal 2 Arrivals/Landside,4,Very Good,1443,4,In Mumbai Airport ,,,"9,303","2,501"
"Zostel Mumbai
Like a 3",4,Very Good,738,,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.6 km ,"1,342",285
"President, Mumbai - IHCL SeleQtions",4.4,Excellent,2510,5,South Mumbai ,Queen's Necklace - Marine Drive,2.4 km ,"10,400",
Novotel Mumbai Juhu Beach,3.6,Very Good,2306,5,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.6 km ,"8,500",
Ibis Mumbai Airport - An Accor Brand,3.6,Very Good,1990,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,680 m ,"6,499",
"Ginger Mumbai, Andheri (MIDC)",3.4,Good,2721,3,Jogeshwari East ,T2 - Chhatrapati Shivaji International Airport,5.3 km ,"2,624",
Lakeside Chalet Marriott Executive Apartments,4.1,Very Good,362,,Powai ,T2 - Chhatrapati Shivaji International Airport,6.5 km ,"9,000",
"Lemon Tree Hotel, Kalina, Mumbai",3.3,Good,324,4,Bandra Kurla Complex ,T1 - Chhatrapati Shivaji International Airport,6.7 km ,"4,975","1,806"
Ramee Guestline Hotel Juhu,3.6,Very Good,3162,4,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.7 km ,"5,275","1,430"
Ramee Techome,4,Very Good,1173,4,Khar West ,T1 - Chhatrapati Shivaji International Airport,5.2 km ,"6,231","1,273"
Shabana,3.5,Very Good,216,,Colaba ,Gateway Of India Mumbai,1.1 km ,"1,304",355
Hotel Bawa International,4,Very Good,1817,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,810 m ,"5,000",
"Ginger Mumbai, Goregaon",3.8,Very Good,478,4,Goregaon ,T1 - Chhatrapati Shivaji International Airport,8.5 km ,"3,224",
Grand Hyatt Mumbai,4.3,Excellent,1855,5,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,3.7 km ,"10,000",
Hotel Marine Plaza,4.2,Very Good,1292,5,Churchgate ,Queen's Necklace - Marine Drive,270 m ,"9,449","1,701"
"Lemon Tree Premier, Mumbai International Airport, Mumbai",4.2,Very Good,5001,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.3 km ,"3,566","1,294"
Hotel Airport International,3.7,Very Good,3139,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,780 m ,"3,255",770
Dragonfly Hotel - The Art Hotel,3.5,Very Good,906,4,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.1 km ,"3,035",935
Four Seasons Hotel Mumbai,4.4,Excellent,1863,5,South Mumbai,,,"49,000",
Gateway Inn | Rooms in an Apartment,3.2,Good,356,,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.3 km ,"1,839",495
"The Oberoi, Mumbai",4.7,Excellent,876,5,Marine Drive ,Queen's Necklace - Marine Drive,420 m ,"16,750",
Hotel Jyoti Dwelling,4.2,Very Good,1539,3,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.2 km ,"2,232",456
Indie Stays,3.9,Very Good,1406,3,Bandra Kurla Complex ,T1 - Chhatrapati Shivaji International Airport,5.8 km ,"6,975","1,425"
Meluha - The Fern,4.4,Excellent,2189,5,Powai ,T2 - Chhatrapati Shivaji International Airport,7.2 km ,"7,109","1,911"
Afra dormitory,4.8,Excellent,4,,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.3 km ,848,228
Hotel Airlink,3.8,Very Good,387,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,950 m ,"3,204",798
The Fern Goregaon,4.2,Very Good,1842,5,Goregaon ,T1 - Chhatrapati Shivaji International Airport,8.9 km ,"7,988","2,405"
Mirage Hotel,4.1,Very Good,1820,4,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.7 km ,"6,126","1,251"
"RELOhomes | 1 BHK Apartment
Like a 4",4.6,Excellent,45,,Powai ,T2 - Chhatrapati Shivaji International Airport,7.7 km ,"5,721","1,420"
Click Hotel Caliph,3.3,Good,834,3,Powai ,T2 - Chhatrapati Shivaji International Airport,5.4 km ,"4,500",
HOTEL LEAFIO MARIGOLD,3.7,Very Good,1387,3,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.2 km ,"3,162",748
"Keys Select by Lemon Tree Hotels, Nestor, Mumbai",3.5,Very Good,1528,3,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.0 km ,"3,623","1,288"
Hotel Sea Princess,4.1,Very Good,1762,5,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.6 km ,"7,952","2,138"
HOTEL WEGO,4.1,Very Good,1335,3,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.2 km ,"3,495","1,128"
Rodas - An Ecotel Hotel,4.4,Excellent,795,3,Powai ,T2 - Chhatrapati Shivaji International Airport,7.0 km ,"7,998","2,150"
The Westin Mumbai Powai Lake,4.3,Excellent,1282,5,Powai ,T2 - Chhatrapati Shivaji International Airport,6.7 km ,"9,000",
Mayura Aureole Co-Living,4.2,Very Good,143,,Goregaon ,T1 - Chhatrapati Shivaji International Airport,8.4 km ,"1,496",418
Sea Green Hotel,3.8,Very Good,1203,3,Churchgate ,Queen's Necklace - Marine Drive,450 m ,"4,692","1,265"
ibis Mumbai Vikhroli - An Accor Brand,3.9,Very Good,327,4,Vikhroli West ,T2 - Chhatrapati Shivaji International Airport,9.5 km ,"6,299",
Aboo's Concord Galaxy,3.3,Good,798,3,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.9 km ,"3,228",831
The Paradise by Tunga,4,Very Good,1202,3,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.4 km ,"5,864","1,424"
Address Dormitory,4,Very Good,240,,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.2 km ,404,113
Arnna Hotel - Goregaon,3.8,Very Good,135,3,Goregaon ,T1 - Chhatrapati Shivaji International Airport,7.9 km ,"2,919",830
Ramee Guestline Hotel - Dadar,4.1,Very Good,774,4,South Mumbai,,,"6,814","1,612"
Hotel Metro Palace,3.6,Very Good,1167,3,Bandra West ,Band Stand,2.5 km ,"4,064",495
Hotel Manama,3.5,Very Good,1566,3,South Mumbai ,Gateway Of India Mumbai,2.3 km ,"3,158",747
Aashiyana Dormitory,3.1,Good,277,,South Mumbai ,Gateway Of India Mumbai,2.4 km ,630,176
T24 Residency,4,Very Good,2465,4,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.0 km ,"4,099",
"The Taj Mahal Palace, Mumbai",4.7,Excellent,802,5,Colaba ,Gateway Of India Mumbai,280 m ,"27,000",
The Roa Hotel,3.7,Very Good,1300,3,Ghatkopar West ,T2 - Chhatrapati Shivaji International Airport,5.5 km ,"2,976",608
Hotel Leafio,3.5,Very Good,1919,3,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.1 km ,"2,199",264
The Byke Delotel,3.8,Very Good,419,3,Borivali West,,,"3,183",903
The Empresa Hotel,3.8,Very Good,701,4,Andheri West ,T1 - Chhatrapati Shivaji International Airport,7.6 km ,"8,099","1,458"
HOTEL KOHINOOR PARK,3.8,Very Good,592,3,South Mumbai ,Siddhivinayak Temple,480 m ,"3,596","1,118"
The Altruist Business Hotel (Andheri),3.6,Very Good,1257,3,Jogeshwari East ,T1 - Chhatrapati Shivaji International Airport,4.5 km ,"2,763",711
Hotel Parle International,3.7,Very Good,3158,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,1.9 km ,"4,836","1,052"
Ocean Dormitory,3.6,Very Good,67,,Asalpha ,T2 - Chhatrapati Shivaji International Airport,3.7 km ,925,249
Hotel Beacon T2,3.2,Good,955,4,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.9 km ,"3,600",851
Hotel Columbus,3.6,Very Good,1401,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,1.5 km ,"2,608",567
Sea Green South Hotel,3.9,Very Good,985,3,Churchgate ,Queen's Necklace - Marine Drive,440 m ,"5,583","1,389"
Hotel Suba International,4.3,Excellent,683,4,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.0 km ,"6,700",
Classic Dormitory,3.8,Very Good,123,,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.5 km ,572,145
The Resort Mumbai,4.2,Very Good,3937,5,Madh,,,"11,811","3,556"
The Mirador,3.7,Very Good,384,4,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,3.2 km ,"6,750",810
The Sahil Hotel,4.2,Very Good,1587,4,South Mumbai ,Mumbai Central Bus Terminus,610 m ,"4,650","1,100"
Avion Hotel,3.3,Good,1154,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,1.6 km ,"4,205","1,033"
Blossom Dormitory ( For Male and Female),3.6,Very Good,214,,Sakinaka ,T2 - Chhatrapati Shivaji International Airport,3.4 km ,678,189
Comfort Inn Heritage,3.9,Very Good,963,4,South Mumbai,,,"4,743","1,122"
Hotel Planet Residency,3.8,Very Good,1064,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,2.2 km ,"3,726","1,028"
Hotel Kohinoor Elite,4.1,Very Good,2183,4,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,6.1 km ,"7,250",
Residency Hotel Andheri,4,Very Good,1866,4,Andheri East ,T1 - Chhatrapati Shivaji International Airport,3.2 km ,"4,883","1,155"
