"Hotel Name",Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax
Taj Bangalore,4.6,Excellent,1172,5,Near Bangalore Airport ,Kempegowda Airport ,900 m ,"11,750",
Radisson Bengaluru City Center,4.5,Excellent,1283,4,Ulsoor,,,"7,500",
The Pride Hotel Bangalore,3.8,Very Good,1526,4,Richmond road ,Cubbon Park,2.6 km ,"4,599",552
BloomSuites | Electronic City,4.1,Very Good,643,4,Electronic City,,,"5,000",
Southern Star Bangalore,3.9,Very Good,1320,4,Ashok Nagar ,MG Road,910 m ,"3,082",872
Royal Orchid Central Bangalore,3.7,Very Good,3836,4,Ulsoor ,MG Road,2.3 km ,"5,823",699
Shivas Galaxy Hotel,4.1,Very Good,963,4,Near Bangalore Airport ,Kempegowda Airport ,8.2 km ,"2,900",604
"The Bouvice
Like a 3",4.2,Very Good,151,,Koramangala,,,"2,279",624
JW Marriott Bengaluru Prestige Golfshire Resort and Spa,4.7,Excellent,100,5,In Devanhalli ,Bangalore city centre,52.0 km ,"25,000",
La Sara Grand (Formerly Known as Nandhana Grand),4,Very Good,838,3,Koramangala,,,"2,939",752
Zone By The Park Infantry,3.9,Very Good,762,5,Infantry Road ,MG Road,1.9 km ,"4,252","1,021"
The Chancery,3.9,Very Good,2155,4,Ashok Nagar ,MG Road,980 m ,"4,230",990
Nash Inn Electronic City,3.1,Good,321,,Electronic City,,,979,268
Radisson Blu Bengaluru Outer Ring Road,4.2,Very Good,1159,5,Outer Ring Road,,,"8,000",
"Ginger Bangalore, Whitefield",3.7,Very Good,1198,3,Brookefield,,,"1,884",
Hotel Royal Orchid Bangalore,3.9,Very Good,2185,5,Domlur Layout,,,"7,268",872
"The Hosteller Bangalore, Koramangala",4.3,Excellent,13,,Koramangala,,,"1,295",294
Silicon City Hotel,3.4,Good,695,4,Hosur road,,,"1,586",418
Country Inn And Suites By Radisson Bengaluru Hebbal,3.8,Very Good,1928,4,Hebbal,,,"3,500",
